Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,45.0474,45.1373,0.0898975
Sensor1,bom,46.0474,46.1373,0.0899454
Sensor1,bom,47.0474,47.1373,0.0899215
Sensor1,bom,48.0473,48.1373,0.0900792
Sensor1,bom,49.0474,49.1373,0.0899119
Sensor1,bom,50.0474,50.1372,0.0897891
Sensor1,bom,51.0473,51.1372,0.0899461
Sensor1,bom,52.0473,52.1373,0.0900036
Sensor1,bom,53.0472,53.1374,0.0901509
Sensor1,bom,54.0473,54.1373,0.0899809
Sensor1,bom,55.0474,55.1373,0.0899096
Sensor1,bom,56.0474,56.1373,0.0898907
Sensor1,bom,57.0474,57.1373,0.0899118
Sensor1,bom,58.0473,58.1374,0.0901083
Sensor1,bom,59.0473,59.1372,0.0898892
Sensor1,bom,60.0474,60.1373,0.0899538
Sensor1,bom,61.0474,61.1373,0.0899565
Sensor1,bom,62.0474,62.1374,0.0900372
Sensor1,bom,63.0473,63.1374,0.0900357
Sensor1,bom,64.0474,64.1374,0.0900366
Sensor1,bom,65.0474,65.1374,0.0899689
Sensor1,bom,66.0475,66.1373,0.0897834
Sensor1,bom,67.0473,67.1373,0.0899277
Sensor1,bom,68.0473,68.1373,0.0900777
Sensor1,bom,69.0474,69.1374,0.0899784
Sensor1,bom,70.0475,70.1374,0.089856
Sensor1,bom,71.0474,71.1373,0.0899412
Sensor1,bom,72.0474,72.1374,0.0899476
Sensor1,bom,73.0473,73.1374,0.0900143
Sensor1,bom,74.0473,74.1373,0.0899713
Sensor1,bom,75.0473,75.1372,0.0898786
Sensor1,bom,76.0473,76.1373,0.0900093
Sensor1,bom,77.0474,77.1374,0.0899939
Sensor1,bom,78.0474,78.1373,0.0899147
Sensor1,bom,79.0473,79.1374,0.0900928
Sensor1,bom,80.0473,80.1373,0.0900215
Sensor1,bom,81.0474,81.1373,0.0898772
Sensor1,bom,82.0473,82.1372,0.089965
Sensor1,bom,83.0472,83.1373,0.0900682
Sensor1,bom,84.0472,84.1374,0.0901187
Sensor1,bom,85.0474,85.1374,0.0900051
Sensor1,bom,86.0474,86.1374,0.0899242
Sensor1,bom,87.0474,87.1374,0.089991
Sensor1,bom,88.0474,88.1374,0.0899992
Sensor1,bom,89.0474,89.1374,0.0900768
Sensor1,bom,90.0474,90.1373,0.0899099
Sensor1,bom,91.0473,91.1373,0.0900342
Sensor1,bom,92.0472,92.1374,0.090172
Sensor1,bom,93.0474,93.1374,0.0899073
Sensor1,bom,94.0474,94.1374,0.0899956
Sensor1,bom,95.0475,95.1373,0.0897901
Sensor1,bom,96.0474,96.1374,0.089995
Sensor1,bom,97.0475,97.1373,0.0898068
Sensor1,bom,98.0474,98.1373,0.0899463
Sensor1,bom,99.0473,99.1373,0.0899659
Sensor1,bom,100047,100137,0.0899202
Sensor1,bom,101047,101137,0.0899062
Sensor1,bom,102047,102137,0.090017
Sensor1,bom,103047,103137,0.0899119
Sensor1,bom,104047,104137,0.0899648
Sensor1,bom,105047,105137,0.0898636
Sensor1,bom,106047,106137,0.0900369
