@relation bodyhub_sensors_rt

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time ON'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection Time Constraint' {SATISFIED}

@data
Sensor0,bom,118242,118337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,119242,119337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,120242,120337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,121242,121337,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,122242,122337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,123242,123337,0.09441,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,124242,124337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,125242,125337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,126242,126337,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,127242,127337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,128242,128337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,129242,129337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,130242,130337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,131242,131337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,132242,132337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,133242,133337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,134242,134337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,135242,135337,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,136242,136337,0.09437,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,137242,137337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,138242,138337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,139242,139337,0.0945,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,140242,140337,0.09445,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,141242,141337,0.09442,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,142242,142337,0.09445,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,143242,143337,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,144242,144337,0.09439,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,145242,145337,0.09427,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,146242,146337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,147242,147337,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,148242,148337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,149242,149337,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,150242,150337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,151242,151337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,152242,152337,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,153242,153337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,154242,154337,0.0943,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,155242,155337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,156242,156337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,157242,157337,0.09432,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,158242,158337,0.09444,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,159242,159337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,160242,160337,0.09443,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,161242,161337,0.09442,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,162242,162337,0.09438,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,163242,163337,0.0944,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,164242,164337,0.09428,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,165242,165337,0.09431,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,166242,166337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,167242,167337,0.09436,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,168242,168337,0.09433,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,169242,169337,0.09424,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,170242,170337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,171242,171337,0.09446,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,172242,172337,0.09439,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,173242,173337,0.09434,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,174242,174337,0.09427,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,175242,175337,0.09422,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,176242,176337,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,177242,177337,0.09429,ten,'Real-time ON',SATISFIED,SATISFIED
Sensor0,bom,178242,178337,0.09426,ten,'Real-time ON',SATISFIED,SATISFIED
