Tempo(s), Risco do Sensor, Nivel da Bateria,Delta Bateria, Diff(s),Mode
12.7609,baixo,81.24,0.85,0.04746,Non-controlled
13.3414,alto,80.39,0.29,0.58042,Non-controlled
13.5334,moderado,80.1,0.22,0.19205,Non-controlled
13.6811,baixo,79.88,2.53,0.14768,Non-controlled
15.4134,moderado,77.35,0.08,1.73236,Non-controlled
15.4611,baixo,77.27,2.46,0.04767,Non-controlled
17.1529,moderado,74.81,0.08,1.69183,Non-controlled
17.2007,baixo,74.73,2.11,0.0478,Non-controlled
18.6493,alto,72.62,0.08,1.44858,Non-controlled
19,moderado,72.54,0.08,0.04765,Non-controlled
18.7458,baixo,72.46,2.74,0.04881,Non-controlled
20.6211,moderado,69.72,0.15,1.8753,Non-controlled
20.7185,baixo,69.57,7.15,0.09741,Non-controlled
25.9039,alto,62.42,0.08,5.18544,Non-controlled
26,moderado,62.34,0.15,0.0551,Non-controlled
26.0733,alto,62.19,1.06,0.11431,Non-controlled
26.9116,moderado,61.13,0.15,0.83831,Non-controlled
27.0251,baixo,60.98,1.69,0.11345,Non-controlled
28.3636,moderado,59.29,0.29,1.3385,Non-controlled
28.5879,alto,59,0.43,0.22431,Non-controlled
29,moderado,58.57,0.22,0.33615,Non-controlled
29.0924,baixo,58.35,5.05,0.16837,Non-controlled
34.6897,alto,53.3,0.57,5.59724,Non-controlled
35.0735,moderado,52.73,0.36,0.38386,Non-controlled
35.3168,baixo,52.37,0.36,0.24332,Non-controlled
35.5568,moderado,52.01,0.29,0.24001,Non-controlled
35.7536,baixo,51.72,5.26,0.19672,Non-controlled
39.3688,moderado,46.46,0.08,3.61521,Non-controlled
39.4165,baixo,46.38,1.76,0.04773,Non-controlled
40.6293,moderado,44.62,0.08,1.21282,Non-controlled
40.6772,baixo,44.54,2.04,0.0479,Non-controlled
42.0732,alto,42.5,0.57,1.39603,Non-controlled
42.4567,moderado,41.93,0.5,0.38349,Non-controlled
42.7934,baixo,41.43,1.2,0.33664,Non-controlled
43.6133,alto,40.23,1.13,0.81994,Non-controlled
44,moderado,39.1,0.29,0.76765,Non-controlled
44.5733,baixo,38.81,0.08,0.19229,Non-controlled
44.6213,moderado,38.73,0.08,0.04807,Non-controlled
44.6704,baixo,38.65,0.36,0.04909,Non-controlled
44.9133,alto,38.29,0.43,0.24292,Non-controlled
45.2016,moderado,37.86,0.08,0.28822,Non-controlled
45.2495,baixo,37.78,2.25,0.0479,Non-controlled
46.8421,moderado,35.53,0.08,1.59261,Non-controlled
46.8901,baixo,35.45,2.25,0.04806,Non-controlled
48.4453,alto,33.2,0.57,1.55519,Non-controlled
48.8334,moderado,32.63,0.15,0.38812,Non-controlled
48.9307,baixo,32.48,4,0.09724,Non-controlled
51.6731,alto,28.48,1.83,2.74241,Non-controlled
52.9255,moderado,26.65,0.43,1.25243,Non-controlled
53,baixo,26.22,3.23,0.29148,Non-controlled
55.4284,moderado,22.99,0.08,2.21139,Non-controlled
55,baixo,22.91,4.77,0.04861,Non-controlled
58.7534,moderado,18.14,0.15,3.27642,Non-controlled
58.8496,baixo,17.99,0.92,0.0962,Non-controlled
59.4801,alto,17.07,0.5,0.63051,Non-controlled
59.8173,moderado,16.57,0.22,0.33718,Non-controlled
59.9655,baixo,16.35,9.67,0.14826,Non-controlled
66.6009,alto,6.68,0.71,6.63537,Non-controlled
67.0811,moderado,5.97,0.15,0.48023,Non-controlled
67.1786,alto,5.82,0.64,0.09746,Non-controlled
67.6174,moderado,5.18,0.15,0.43881,Non-controlled
67.7146,baixo,5.03,5.33,0.09722,Non-controlled
71.3654,moderado,-0.3,0.15,3.65077,Non-controlled
71.4623,baixo,-0.45,1.69,0.09692,Non-controlled
72.6175,moderado,-2.14,0.08,1.15513,Non-controlled
72.6647,alto,-2.22,1.06,0.04724,Non-controlled
