Tempo(s), Risco do Sensor, Nível da Bateria,Delta Battery, Diff(s),Mode
1548.62,alto,-283.247,5.866,9.99993,Controlled
1558.22,baixo,-289.113,0.78,9.60011,Controlled
1569.22,alto,-289.893,5.561,10.9999,Controlled
1578.32,baixo,-295.454,0.78,9.10008,Controlled
1589.32,alto,-296.234,5.561,10.9999,Controlled
1598.42,baixo,-301.795,0.78,9.10007,Controlled
1609.42,moderado,-302.575,1.31,11,Controlled
1619.42,alto,-303.885,5.866,10,Controlled
1629.02,baixo,-309.751,0.78,9.59997,Controlled
1640.02,alto,-310.531,5.622,11.0001,Controlled
1649.22,baixo,-316.153,0.78,9.19998,Controlled
1660.22,alto,-316.933,5.561,11,Controlled
1669.32,baixo,-322.494,0.78,9.09995,Controlled
1680.32,moderado,-323.274,1.31,10.9999,Controlled
1690.32,alto,-324.584,5.927,10.0001,Controlled
1700.02,baixo,-330.511,0.78,9.69995,Controlled
1711.02,moderado,-331.291,1.31,11,Controlled
1721.02,alto,-332.601,5.927,10,Controlled
1730.72,baixo,-338.528,0.78,9.69991,Controlled
1741.72,alto,-339.308,5.561,11,Controlled
1750.82,baixo,-344.869,0.78,9.10013,Controlled
1761.82,moderado,-345.649,1.245,11,Controlled
1771.32,baixo,-346.894,0.78,9.49998,Controlled
1782.32,alto,-347.674,5.561,10.9999,Controlled
1791.42,baixo,-353.235,0.78,9.1,Controlled
1802.42,moderado,-354.015,1.245,11,Controlled
1811.92,alto,-355.260,5.866,9.50002,Controlled
1821.52,baixo,-361.126,0.78,9.60005,Controlled
1832.52,alto,-361.906,5.561,11,Controlled
1841.62,baixo,-367.467,0.78,9.10003,Controlled
1852.62,moderado,-368.247,1.31,11,Controlled
1862.62,baixo,-369.557,0.78,9.99997,Controlled
1873.62,alto,-370.337,5.561,11,Controlled
1882.72,baixo,-375.898,0.78,9.1,Controlled
1893.72,alto,-376.678,5.622,11,Controlled
1902.92,baixo,-382.300,0.78,9.19993,Controlled
1913.92,alto,-383.080,5.622,11,Controlled
1923.12,baixo,-388.702,0.78,9.19998,Controlled
1934.12,moderado,-389.482,1.245,11,Controlled
1943.62,baixo,-390.727,0.78,9.50013,Controlled
1954.62,moderado,-391.507,1.245,11,Controlled
1964.12,alto,-392.752,5.927,9.49995,Controlled
1973.82,baixo,-398.679,0.78,9.70004,Controlled
1984.82,moderado,-399.459,1.31,10.9999,Controlled
1994.82,baixo,-400.769,0.78,9.99999,Controlled
2005.82,moderado,-401.549,1.245,11,Controlled
2015.32,alto,-402.794,5.927,9.5001,Controlled
2025.02,baixo,-408.721,0.78,9.69985,Controlled
2036.02,alto,-409.501,5.622,11.0001,Controlled
2045.22,baixo,-415.123,0.78,9.19983,Controlled
2056.22,moderado,-415.903,1.245,11.0002,Controlled
2065.72,alto,-417.148,5.927,9.50006,Controlled
2075.42,baixo,-423.075,0.78,9.69992,Controlled
2086.42,alto,-423.855,5.561,10.9999,Controlled
2095.52,baixo,-429.416,0.78,9.10009,Controlled
2106.52,moderado,-430.196,1.245,10.9999,Controlled
2116.02,baixo,-431.441,0.78,9.5001,Controlled
2127.02,alto,-432.221,5.561,11,Controlled
2136.12,baixo,-437.782,0.78,9.10001,Controlled
2147.12,alto,-438.562,5.561,10.9999,Controlled
2156.22,baixo,-444.123,0.78,9.1001,Controlled
2167.22,moderado,-444.903,1.245,11.0001,Controlled
2176.72,baixo,-446.148,0.78,9.49987,Controlled
2187.72,moderado,-446.928,1.245,11,Controlled
2197.22,alto,-448.173,5.866,9.49997,Controlled
2206.82,baixo,-454.039,0.78,9.59999,Controlled
2217.82,moderado,-454.819,1.31,11,Controlled
2227.82,baixo,-456.129,0.78,10,Controlled
2238.82,moderado,-456.909,1.245,11.0003,Controlled
2248.32,alto,-458.154,5.927,9.49985,Controlled
2258.02,baixo,-464.081,0.78,9.69995,Controlled
2269.02,alto,-464.861,5.561,11.0001,Controlled
2278.12,baixo,-470.422,0.78,9.09994,Controlled
2289.12,moderado,-471.202,1.245,11,Controlled
2298.62,alto,-472.447,5.927,9.50004,Controlled
2308.32,baixo,-478.374,0.78,9.69998,Controlled
2319.32,moderado,-479.154,1.31,11,Controlled
2329.32,baixo,-480.464,0.78,9.99991,Controlled
2340.32,moderado,-481.244,1.31,11,Controlled
2350.32,baixo,-482.554,0.78,9.99998,Controlled
2361.32,alto,-483.334,5.622,11.0001,Controlled
2370.52,baixo,-488.956,0.78,9.2,Controlled
2381.52,moderado,-489.736,1.31,10.9999,Controlled
2391.52,baixo,-491.046,0.78,10,Controlled
2402.52,alto,-491.826,5.561,11.0001,Controlled
2411.62,baixo,-497.387,0.78,9.10001,Controlled
2422.62,alto,-498.167,5.622,10.9999,Controlled
2431.82,baixo,-503.789,0.78,9.20006,Controlled
2442.82,moderado,-504.569,1.245,10.9999,Controlled
2452.32,baixo,-505.814,0.78,9.5001,Controlled
2463.32,alto,-506.594,5.561,11,Controlled
2472.42,baixo,-512.155,0.78,9.10002,Controlled
