Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s)
Sensor1,medio,36.3472,36.4351,0.0879213
Sensor0,medio,36.6401,36.8364,0.196281
Sensor2,medio,36.7515,36.8365,0.0850415
Sensor4,medio,36.7632,36.8366,0.0734122
Sensor1,medio,36.8481,36.9351,0.0870754
Sensor3,medio,37.1573,37.3358,0.178439
Sensor4,medio,37.2631,37.3359,0.0728225
Sensor1,medio,37.3476,37.4351,0.0875405
Sensor0,medio,37.6402,37.8364,0.196241
Sensor2,medio,37.7516,37.8365,0.0848755
Sensor4,medio,37.7634,37.8366,0.073145
Sensor1,medio,37.8484,37.9351,0.0867809
Sensor3,medio,38.1572,38.3359,0.178656
Sensor4,medio,38.2629,38336,0.07302
Sensor1,medio,38.3475,38.4352,0.0876382
Sensor0,medio,38.64,38837,0.197017
Sensor2,medio,38.7514,38.8371,0.0857739
Sensor3,medio,38.6572,38.8372,0.180058
Sensor4,medio,38.7631,38.8373,0.0741853
Sensor1,medio,38.8491,38.9351,0.08604
Sensor3,medio,39.1569,39.3358,0.178917
Sensor4,medio,39263,39.3359,0.0729659
Sensor1,medio,39.3474,39.4351,0.0876635
Sensor0,medio,39.6399,39.8369,0.196996
Sensor2,medio,39.7516,39837,0.0854334
Sensor3,medio,39.6572,39.8371,0.179902
Sensor4,medio,39.7634,39.8372,0.0737906
Sensor1,medio,39.8487,39.9351,0.0864068
Sensor3,medio,40.1572,40.3358,0.178613
Sensor4,medio,40263,40.3359,0.0729638
Sensor1,medio,40.3475,40.4351,0.0876053
Sensor0,medio,40.6399,40837,0.197154
Sensor2,medio,40.7515,40.8371,0.0856593
Sensor3,medio,40.6571,40.8372,0.180146
Sensor4,medio,40.7633,40.8373,0.0740867
Sensor1,medio,40.8488,40935,0.0862385
Sensor3,medio,41.1572,41.3357,0.178578
Sensor4,medio,41.2629,41.3359,0.0729436
Sensor1,medio,41.3472,41435,0.0877753
Sensor0,medio,41.6401,41837,0.196968
Sensor2,medio,41.7513,41.8371,0.0857993
Sensor3,medio,41.6573,41.8372,0.179952
Sensor4,medio,41.7631,41.8373,0.0742272
Sensor1,medio,41.8486,41.9351,0.0865675
Sensor3,medio,42.1572,42.3357,0.178459
Sensor4,medio,42.2629,42.3358,0.0729558
Sensor1,medio,42.3475,42.4351,0.0876631
Sensor0,medio,42.6399,42837,0.19701
Sensor2,medio,42.7515,42.8371,0.0855143
Sensor3,ruim,42.6574,42.8372,0.17977
Sensor4,ruim,42.7636,42.8372,0.0736884
Sensor1,ruim,42.8487,42.9357,0.0870101
Sensor3,ruim,42.7576,42.9358,0.178197
Sensor3,ruim,42.8626,43.0351,0.172501
Sensor3,ruim,42.9603,43.1351,0.174723
Sensor3,ruim,43.0592,43.2351,0.175858
Sensor3,ruim,43.1588,43.3358,0.177079
Sensor4,ruim,43265,43336,0.0709723
Sensor1,ruim,43.3475,43.4357,0.0881623
Sensor3,ruim,43.2588,43.4359,0.177077
Sensor3,ruim,43.3601,43.5351,0.175037
Sensor3,ruim,43.4592,43.6351,0.175883
Sensor3,ruim,43559,43.7351,0.176136
Sensor0,medio,43.6408,43.8371,0.196333
Sensor2,medio,43.7534,43.8372,0.083873
Sensor3,ruim,43.6585,43.8373,0.178797
Sensor4,ruim,43.7677,43.8374,0.0696649
Sensor1,ruim,43.8491,43.9358,0.08671
Sensor3,ruim,43.7599,43.9359,0.175996
Sensor3,ruim,43.8619,44.0352,0.173301
Sensor3,ruim,43.9605,44.1351,0.174583
Sensor3,ruim,44059,44.2351,0.176089
Sensor3,ruim,44.1589,44.3357,0.17679
Sensor4,ruim,44.2652,44.3359,0.0706356
Sensor1,ruim,44.3474,44.4357,0.088343
Sensor3,medio,44259,44.4358,0.176865
Sensor0,medio,44.6401,44.8364,0.19631
Sensor2,medio,44.7514,44.8365,0.0851277
Sensor4,medio,44.7633,44.8367,0.0733904
Sensor1,medio,44.8482,44.9357,0.0874931
Sensor3,medio,44.7573,44.9359,0.178524
Sensor4,medio,45.2632,45.3352,0.0719742
Sensor1,medio,45.3466,45.4358,0.0892262
Sensor3,medio,45.2572,45436,0.178713
Sensor0,medio,45.6399,45.8364,0.196523
Sensor2,medio,45.7515,45.8365,0.0850364
Sensor4,medio,45.7635,45.8366,0.0731636
Sensor1,medio,45.8483,45.9357,0.0874548
Sensor3,medio,45.7575,45.9359,0.178355
Sensor4,medio,46.2632,46.3351,0.0718641
Sensor1,medio,46.3468,46.4358,0.0889842
Sensor3,ruim,46.2574,46.4359,0.178535
Sensor3,ruim,46.3594,46.5351,0.175683
Sensor3,medio,46.4599,46.6351,0.17526
Sensor0,medio,46.6408,46.8364,0.195653
Sensor2,medio,46.7515,46.8366,0.0850087
Sensor4,medio,46.7634,46.8366,0.0732652
Sensor1,medio,46.8481,46.9351,0.0870906
Sensor3,medio,46.9588,47135,0.176186
Sensor4,medio,47.2633,47.3351,0.0718142
Sensor1,medio,47.3465,47.4351,0.0886142
Sensor3,medio,47459,47.6352,0.176188
Sensor0,medio,47.6408,47.8364,0.195618
Sensor2,medio,47.7515,47.8365,0.084988
Sensor4,medio,47.7633,47.8366,0.0732519
Sensor1,medio,47848,47.9351,0.0871572
Sensor3,medio,47.9591,48135,0.175923
Sensor4,medio,48.2631,48.3351,0.0720363
Sensor1,medio,48.3464,48.4351,0.0886992
