Tref:,1514237651,0.221379,=B1+C1

Sensor Sender ID, Patient Health Status, Detected Emergency?, T bodyhub.processed (s), T sensornode.collected (s), delta (s)
4,bad,false,307.98,307.908,0.0719718
0,bad,false,308.28,308.185,0.0948037
3,bad,true,309.18,309.103,0.07767
2,bad,true,312.08,311.997,0.083497
1,bad,false,315.78,315.591,0.189189
5,bad,false,315.88,315.816,0.0647063
3,bad,false,319.78,319.703,0.0775539
8,bad,true,321.38,321.331,0.0489378
4,bad,true,322.48,322.408,0.0719408
2,bad,false,323.38,323.297,0.0835683
9,bad,false,326.48,326.437,0.0429468
0,bad,true,327.281,327.185,0.0955985
6,bad,true,327.281,327.221,0.0602339
1,bad,true,327.78,327.591,0.188921
7,bad,true,329.08,329.026,0.0546441
5,bad,true,330.88,330.815,0.0654489
8,bad,false,331.78,331.732,0.0485115
4,bad,false,333.08,333.009,0.0707762
2,bad,true,337.88,337.797,0.0829779
1,bad,false,338.38,338.191,0.189044
0,bad,false,338.681,338.585,0.0955209
6,bad,false,338.681,338.62,0.0606702
7,bad,false,339.38,339.326,0.0543154
9,bad,false,339.48,339.439,0.0408862
5,bad,false,341.38,341.314,0.0660065
3,bad,false,343.78,343.703,0.0774801
8,bad,false,345.78,345.732,0.0484051
2,bad,false,348.58,348.497,0.0833868
4,bad,true,349.08,349.008,0.0720618
0,bad,false,350.18,350.085,0.0948602
7,bad,false,353.38,353.326,0.0546774
5,bad,false,353.88,353.814,0.0660556
9,bad,false,355.48,355.438,0.0427355
6,bad,false,358.68,358.62,0.0604591
4,medium,false,359.58,359.508,0.0716714
3,bad,true,361.781,361.703,0.07815
8,bad,false,361.781,361.732,0.0492719
2,bad,true,365.58,365.497,0.0833727
1,bad,true,369.38,369.191,0.18913
5,bad,true,369.88,369.814,0.0661887
0,bad,false,371.181,371.085,0.0954743
6,bad,true,371.181,371.12,0.0609144
3,bad,false,372.38,372.303,0.0775944
9,bad,false,373.48,373.438,0.0425054
4,bad,false,373.58,373.51,0.0707024
2,bad,false,376.18,376.097,0.0835315
8,bad,true,377.78,377.732,0.0484812
7,bad,true,378.38,378.326,0.0543858
1,bad,false,379.88,379.691,0.189111
5,bad,false,380.48,380.414,0.0658035
6,bad,false,382.28,382.22,0.0602997
0,bad,true,384.68,384.585,0.0948945
8,bad,false,388.38,388.332,0.0486552
4,bad,true,389.08,389.008,0.0719622
2,bad,false,389.18,389.098,0.0822196
7,bad,false,389.481,389.426,0.0551506
9,bad,false,389.481,389.437,0.0434339
3,bad,false,390.38,390.302,0.0777252
5,bad,true,391.98,391.914,0.0661753
0,bad,false,395.78,395.685,0.0948522
4,bad,false,400.08,400.008,0.0720049
1,bad,true,400.88,400.691,0.188911
2,bad,true,402.18,402.097,0.0834159
8,bad,true,402.38,402.332,0.0485767
5,bad,false,402.58,402.515,0.0655136
9,bad,false,402.98,402.938,0.0426261
6,bad,true,403.28,403.22,0.0601153
7,bad,true,405.48,405.426,0.0543865
0,bad,false,409.28,409.185,0.0948926
1,bad,false,412.48,412.291,0.189074
2,bad,false,413.38,413.297,0.0836966
8,bad,false,413.48,413.433,0.0468008
3,bad,true,413.88,413.802,0.0777653
6,bad,false,413.98,413.921,0.0587816
4,bad,true,415.58,415.508,0.0718389
5,bad,false,416.08,416.014,0.0658949
7,bad,false,416.48,416.426,0.0545889
9,bad,false,420.98,420.938,0.0426366
0,bad,true,423.28,423.185,0.0950882
3,bad,false,425.08,425.002,0.0777432
4,bad,false,426.08,426.008,0.0718431
6,bad,false,426.98,426.92,0.0601193
1,bad,false,427.48,427.291,0.189002
7,bad,true,431.48,431.426,0.0545685
8,bad,true,431.98,431.932,0.0487017
5,bad,false,433.08,433.014,0.0665511
9,bad,true,433.48,433.437,0.0427195
0,bad,false,433.88,433.785,0.0948713
4,bad,true,440.08,440.008,0.0718919
2,bad,true,440.38,440.297,0.0834087
1,bad,true,441.48,441.291,0.189014
6,bad,true,441.98,441.92,0.0602555
8,bad,false,442.68,442.632,0.0480644
7,bad,false,443.781,443.726,0.0553002
9,bad,false,443.781,443.737,0.0436049
3,bad,true,444.08,444.003,0.0776221
5,bad,false,445.08,445.014,0.0657585
0,bad,false,448.38,448.285,0.0948911
4,bad,false,450.58,450.508,0.071896
2,bad,false,450.98,450.897,0.0835159
1,bad,false,452.08,451.891,0.189089
6,bad,false,452.58,452.52,0.0604821
8,bad,true,454.18,454.131,0.0488705
3,bad,false,455.28,455.202,0.0778958
7,bad,true,457.78,457.725,0.0547757
9,bad,true,459.28,459.237,0.0428591
0,bad,false,461.38,461.285,0.094767
2,bad,true,463.48,463.397,0.0834775
4,bad,false,464.58,464.508,0.0716845
8,bad,false,464.98,464.932,0.0481391
1,bad,false,466.58,466.391,0.189061
3,bad,false,466.78,466.703,0.0774626
7,bad,false,468.48,468.426,0.0542755
6,bad,true,468.58,468.522,0.0581882
9,bad,false,470.08,470.037,0.0429945
2,bad,false,473.88,473.797,0.0834925
0,bad,true,476.38,476.285,0.0949954
4,bad,true,479.081,479.008,0.0727351
6,bad,false,479.081,479.02,0.0609452
5,bad,true,480.08,480.014,0.0660384
3,bad,true,480.78,480.703,0.0772934
8,bad,false,480.98,480.932,0.0485522
1,bad,false,484.58,484.391,0.189031
2,bad,true,486.88,486.797,0.0835869
0,bad,false,487.08,486.985,0.0947555
9,bad,false,489.58,489.538,0.0427001
4,bad,false,489.68,489.61,0.070273
5,bad,false,490.58,490.514,0.0659246
3,bad,false,491.38,491.303,0.077399
6,bad,true,493.08,493.02,0.0601145
8,bad,false,493.98,493.931,0.0488443
2,bad,false,497.28,497.197,0.0834869
7,bad,false,497.48,497.426,0.0544988
1,bad,true,497.58,497.391,0.18906
0,bad,false,501.08,500.985,0.0949047
3,bad,true,503.38,503.303,0.0777352
4,bad,true,504.18,504.108,0.0718229
6,bad,false,506.18,506.12,0.0602058
8,bad,true,506.98,506.932,0.0485262
5,bad,false,507.58,507.514,0.0662132
1,bad,false,507.98,507.791,0.189061
9,bad,false,509.58,509.537,0.0427291
7,bad,false,509.98,509.926,0.0536942
2,bad,false,511.28,511.197,0.0834959
0,bad,true,512.58,512.486,0.0946412
4,bad,false,515.28,515.209,0.0715657
3,bad,false,517.28,517.202,0.0776461
8,bad,false,517.68,517.632,0.048426
6,bad,false,521.18,521.12,0.0602216
5,bad,false,522.08,522.014,0.0660545
0,medium,false,523.58,523.485,0.0948656
2,medium,false,523.78,523.697,0.0832886
7,medium,false,524.98,524.925,0.0547445
9,medium,false,525.08,525.039,0.0409905
1,medium,false,528.98,528.791,0.189004
3,bad,true,531.281,531.203,0.0783572
4,bad,false,531.281,531.208,0.0725364
8,bad,false,532.68,532.631,0.0488557
7,bad,true,539.48,539.426,0.0546064
2,bad,true,539.78,539.697,0.0835545
6,bad,true,541.18,541.12,0.0602214
3,bad,false,541.68,541.602,0.0780476
1,bad,false,542.98,542.791,0.189117
4,bad,true,543.78,543.708,0.0718177
8,bad,true,546.68,546.632,0.0482987
5,bad,false,547.08,547.014,0.0659297
0,bad,false,547.58,547.485,0.094903
9,bad,false,550.08,550.037,0.0426367
7,bad,false,550.18,550.128,0.0523667
2,bad,false,550.48,550.397,0.0837135
6,bad,false,551.78,551.72,0.0601291
4,bad,false,554.38,554.308,0.0719229
3,bad,true,554.68,554.603,0.0775731
1,bad,true,557.98,557.791,0.189163
8,bad,false,558.28,558.231,0.0487689
0,bad,true,560.58,560.485,0.0947921
5,bad,true,561.58,561.514,0.0659018
9,bad,false,563.08,563.037,0.0429156
2,bad,true,564.48,564.397,0.0834995
3,bad,false,566.78,566.703,0.0776221
4,bad,false,566.88,566.81,0.0703737
1,bad,false,568.88,568.691,0.188918
0,bad,false,571.28,571.185,0.0947874
8,bad,false,572.28,572.232,0.0485024
5,bad,false,573.08,573.014,0.0660729
2,bad,false,575.18,575.097,0.0835668
7,bad,false,577.18,577.126,0.0542104
