Tempo(s), Risco do Sensor, Nivel da Bateria, Diff(s),Mode,Cycle Time-Constraint,Confirmation Time-Constraint
305,alto,-24.38,0.201,(3 out of 5),Violated,Satisfied
306,moderado,-24.49,0.249,(3 out of 5),Violated,Satisfied
306,baixo,-24.8,0.750,(3 out of 5),Violated,Violated
307,moderado,-25.21,1.000,(3 out of 5),Violated,Violated
309,alto,-25.72,1.250,(3 out of 5),Violated,Violated
309,moderado,-26.03,0.750,(3 out of 5),Violated,Violated
310,baixo,-26.22,0.450,(3 out of 5),Violated,Violated
310,moderado,-26.33,0.250,(3 out of 5),Violated,Violated
312,baixo,-27.1,1.900,(3 out of 5),Violated,Violated
313,moderado,-27.43,0.800,(3 out of 5),Violated,Violated
313,alto,-27.54,0.250,(3 out of 5),Violated,Satisfied
314,moderado,-27.97,1.050,(3 out of 5),Violated,Violated
319,baixo,-29.9,4.800,(3 out of 5),Violated,Violated
321,moderado,-30.55,1.600,(3 out of 5),Violated,Violated
324,alto,-31.86,3.250,(3 out of 5),Violated,Violated
326,moderado,-32.57,1.750,(3 out of 5),Violated,Violated
329,alto,-34.12,3.850,(3 out of 5),Violated,Violated
330,moderado,-34.27,0.350,(3 out of 5),Violated,Violated
332,baixo,-35.04,1.900,(3 out of 5),Violated,Violated
332,moderado,-35.11,0.150,(3 out of 5),Violated,Satisfied
332,baixo,-35.14,0.050,(3 out of 5),Satisfied,Satisfied
334,moderado,-35.91,1.900,(3 out of 5),Violated,Violated
336,baixo,-36.68,1.900,(3 out of 5),Violated,Violated
337,moderado,-37.05,0.900,(3 out of 5),Violated,Violated
340,alto,-38.42,3.400,(3 out of 5),Violated,Violated
340,moderado,-38.57,0.350,(3 out of 5),Violated,Violated
343,alto,-39.5,2.301,(3 out of 5),Violated,Violated
346,moderado,-40.73,3.049,(3 out of 5),Violated,Violated
349,alto,-41.98,3.100,(3 out of 5),Violated,Violated
352,moderado,-43.21,3.050,(3 out of 5),Violated,Violated
354,alto,-44.16,2.350,(3 out of 5),Violated,Violated
355,moderado,-44.45,0.700,(3 out of 5),Violated,Violated
356,alto,-44.92,1.150,(3 out of 5),Violated,Violated
356,moderado,-44.97,0.101,(3 out of 5),Violated,Satisfied
357,alto,-45.44,1.149,(3 out of 5),Violated,Violated
358,moderado,-45.69,0.600,(3 out of 5),Violated,Violated
359,baixo,-46.12,1.050,(3 out of 5),Violated,Violated
360,moderado,-46.45,0.800,(3 out of 5),Violated,Violated
360,baixo,-46.48,0.050,(3 out of 5),Satisfied,Satisfied
360,moderado,-46.55,0.150,(3 out of 5),Violated,Satisfied
361,baixo,-46.96,1.000,(3 out of 5),Violated,Violated
364,moderado,-48.21,3.100,(3 out of 5),Violated,Violated
366,alto,-49.06,2.100,(3 out of 5),Violated,Violated
368,moderado,-49.89,2.050,(3 out of 5),Violated,Violated
369,alto,-50.1,0.501,(3 out of 5),Violated,Violated
370,moderado,-50.71,1.499,(3 out of 5),Violated,Violated
370,alto,-50.74,0.050,(3 out of 5),Satisfied,Satisfied
371,moderado,-51.03,0.701,(3 out of 5),Violated,Violated
372,baixo,-51.44,0.999,(3 out of 5),Violated,Violated
373,moderado,-51.79,0.850,(3 out of 5),Violated,Violated
373,alto,-51.92,0.300,(3 out of 5),Violated,Violated
373,moderado,-52.09,0.400,(3 out of 5),Violated,Violated
374,alto,-52.5,1.000,(3 out of 5),Violated,Violated
377,moderado,-53.53,2.550,(3 out of 5),Violated,Violated
377,alto,-53.58,0.101,(3 out of 5),Violated,Satisfied
378,moderado,-53.95,0.899,(3 out of 5),Violated,Violated
388,baixo,-58.02,10.150,(3 out of 5),Violated,Violated
388,moderado,-58.15,0.300,(3 out of 5),Violated,Violated
389,baixo,-58.18,0.050,(3 out of 5),Satisfied,Satisfied
389,moderado,-58.49,0.750,(3 out of 5),Violated,Violated
392,baixo,-59.54,2.600,(3 out of 5),Violated,Violated
393,moderado,-59.93,0.950,(3 out of 5),Violated,Violated
395,baixo,-60.8,2.150,(3 out of 5),Violated,Violated
396,moderado,-61.05,0.600,(3 out of 5),Violated,Violated
398,baixo,-61.94,2.200,(3 out of 5),Violated,Violated
399,moderado,-62.49,1.351,(3 out of 5),Violated,Violated
399,baixo,-62.54,0.100,(3 out of 5),Satisfied,Satisfied
399,moderado,-62.57,0.049,(3 out of 5),Satisfied,Satisfied
403,alto,-63.88,3.250,(3 out of 5),Violated,Violated
403,moderado,-63.99,0.250,(3 out of 5),Violated,Satisfied
405,baixo,-64.8,2.000,(3 out of 5),Violated,Violated
405,moderado,-64.95,0.350,(3 out of 5),Violated,Violated
407,baixo,-65.52,1.401,(3 out of 5),Violated,Violated
407,moderado,-65.59,0.149,(3 out of 5),Violated,Satisfied
407,alto,-65.7,0.250,(3 out of 5),Violated,Violated
409,moderado,-66.45,1.850,(3 out of 5),Violated,Violated
409,alto,-66.48,0.050,(3 out of 5),Satisfied,Satisfied
411,moderado,-67.37,2.200,(3 out of 5),Violated,Violated
412,alto,-67.94,1.400,(3 out of 5),Violated,Violated
414,moderado,-68.41,1.150,(3 out of 5),Violated,Violated
415,alto,-68.82,1.000,(3 out of 5),Violated,Violated
415,moderado,-69.19,0.900,(3 out of 5),Violated,Violated
417,baixo,-69.82,1.550,(3 out of 5),Violated,Violated
417,moderado,-69.89,0.150,(3 out of 5),Violated,Satisfied
418,alto,-70.26,0.900,(3 out of 5),Violated,Violated
419,moderado,-70.79,1.300,(3 out of 5),Violated,Violated
426,alto,-73.3,6.250,(3 out of 5),Violated,Violated
429,moderado,-74.63,3.300,(3 out of 5),Violated,Violated
430,alto,-74.96,0.800,(3 out of 5),Violated,Violated
432,moderado,-75.73,1.900,(3 out of 5),Violated,Violated
434,alto,-76.66,2.300,(3 out of 5),Violated,Violated
437,moderado,-77.93,3.150,(3 out of 5),Violated,Violated
441,baixo,-79.38,3.600,(3 out of 5),Violated,Violated
441,moderado,-79.53,0.350,(3 out of 5),Violated,Violated
441,baixo,-79.56,0.050,(3 out of 5),Satisfied,Satisfied
441,moderado,-79.61,0.101,(3 out of 5),Violated,Satisfied
441,baixo,-79.66,0.101,(3 out of 5),Violated,Satisfied
441,moderado,-79.69,0.048,(3 out of 5),Satisfied,Satisfied
444,baixo,-80.66,2.400,(3 out of 5),Violated,Violated
444,moderado,-80.73,0.150,(3 out of 5),Violated,Satisfied
445,alto,-81.22,1.200,(3 out of 5),Violated,Violated
445,moderado,-81.35,0.300,(3 out of 5),Violated,Violated
446,baixo,-81.58,0.550,(3 out of 5),Violated,Violated
448,moderado,-82.25,1.650,(3 out of 5),Violated,Violated
448,baixo,-82.52,0.650,(3 out of 5),Violated,Violated
450,moderado,-83.11,1.450,(3 out of 5),Violated,Violated
