Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor2,bom,68.4971,68.5468,0.0496864
Sensor2,bom,69.7098,69.7593,0.0495007
Sensor2,bom,70.9205,70.9702,0.049622
Sensor2,bom,72.1316,72.1816,0.0499603
Sensor2,bom,73.3428,73393,0.0502159
Sensor2,bom,74.5572,74.6066,0.0494112
Sensor2,bom,75.7684,75.8177,0.0493123
Sensor2,bom,76.9816,77.0313,0.0496703
Sensor2,bom,78.1911,78241,0.0498947
Sensor2,bom,79.4023,79.4526,0.0503112
Sensor2,bom,80.6209,80.6704,0.0494945
Sensor2,bom,81.8343,81.8841,0.0497612
Sensor2,bom,83.0544,83.1041,0.0496942
Sensor2,bom,84.2677,84.3172,0.049496
Sensor2,bom,85.4829,85.5327,0.0497952
Sensor2,bom,86.6927,86.7421,0.0494338
Sensor2,bom,87902,87.9516,0.0496276
Sensor2,bom,89.1144,89.1639,0.0495755
Sensor2,bom,90.3298,90.3798,0.0500672
Sensor2,bom,91.5419,91.5914,0.0495001
Sensor2,bom,92.7519,92.8016,0.0496739
Sensor2,bom,93.9628,94.0126,0.0497952
Sensor2,bom,95.1794,95.2293,0.0499451
Sensor2,bom,96.3939,96.4438,0.0499447
Sensor2,bom,97.6051,97655,0.0499233
Sensor2,bom,98.8185,98.8684,0.049954
Sensor2,bom,100033,100083,0.0498615
Sensor2,bom,101249,101299,0.0501113
Sensor2,bom,102466,102515,0.0498253
Sensor2,bom,103682,103732,0.0496122
Sensor2,bom,104897,104947,0.0498147
Sensor2,bom,106111,106161,0.049754
Sensor2,bom,107325,107375,0.0496499
Sensor2,bom,108537,108587,0.0500008
Sensor2,bom,109749,109799,0.0498925
Sensor2,bom,110961,111011,0.0501048
Sensor2,bom,112169,112219,0.0498578
Sensor2,bom,113.38,113429,0.0498526
Sensor2,bom,114595,114645,0.0498159
Sensor2,bom,115805,115855,0.0499371
Sensor2,bom,117018,117068,0.0497188
Sensor2,bom,118233,118283,0.0500745
Sensor2,bom,119445,119495,0.0496676
Sensor2,bom,120658,120707,0.049535
Sensor2,bom,121875,121925,0.0494439
Sensor2,bom,123083,123133,0.0495415
Sensor2,bom,124297,124347,0.0497052
Sensor2,bom,125508,125557,0.0494595
Sensor2,bom,126718,126768,0.0499459
Sensor2,bom,127931,127981,0.0499377
Sensor2,bom,129143,129193,0.049795
Sensor2,bom,130357,130406,0.0496216
Sensor2,bom,131.57,131.62,0.05003
Sensor2,bom,132785,132835,0.04983
Sensor2,bom,133998,134048,0.0500696
Sensor2,bom,135211,135261,0.0499058
Sensor2,bom,136428,136478,0.049919
Sensor2,bom,137.64,137.69,0.049531
Sensor2,bom,138853,138903,0.0500074
Sensor2,bom,140068,140117,0.0495386
Sensor2,bom,141.28,141329,0.0496064
Sensor2,bom,142492,142541,0.0497206
Sensor2,bom,143707,143757,0.0498624
Sensor2,bom,144919,144969,0.0495646
Sensor2,bom,146135,146185,0.0498396
Sensor2,bom,147347,147397,0.0496568
Sensor2,bom,148562,148612,0.0498311
Sensor2,bom,149773,149823,0.0498628
Sensor2,bom,150987,151037,0.0497568
Sensor2,bom,152201,152251,0.0498705
Sensor2,bom,153416,153465,0.0494655
Sensor2,bom,154629,154679,0.0498741
Sensor2,bom,155842,155892,0.049829
Sensor2,bom,157053,157103,0.0497703
Sensor2,bom,158263,158313,0.0499461
Sensor2,bom,159475,159525,0.0499102
Sensor2,bom,160691,160741,0.0498471
Sensor2,bom,161904,161953,0.0495703
Sensor2,bom,163116,163165,0.0495442
Sensor2,bom,164328,164378,0.0503489
Sensor2,bom,165542,165592,0.0495014
Sensor2,bom,166756,166806,0.0495859
Sensor2,bom,167974,168023,0.0498478
Sensor2,bom,169194,169244,0.0502737
Sensor2,bom,170407,170457,0.0497949
Sensor2,bom,171619,171669,0.0497464
Sensor2,bom,172833,172883,0.0498238
Sensor2,bom,174047,174096,0.0494595
Sensor2,bom,175259,175309,0.0500354
Sensor2,bom,176474,176524,0.0497149
Sensor2,bom,177689,177739,0.049619
