@relation 'NOTRT-bodyhub_5,10,20_sensores'

@attribute 'Sensor remetente' {Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor13,Sensor14,Sensor15,Sensor16,Sensor17,Sensor18,Sensor19}
@attribute ' Estado do Paciente' {bom,medio,ruim}
@attribute ' Enviado as (s)' numeric
@attribute ' Processado as (s)' numeric
@attribute ' Diff (s)' numeric
@attribute 'Numero de Sensores' {five,ten,twenty}
@attribute 'Real-time Mode' {'Real-time OFF'}
@attribute 'Cycle Time Constraint' {SATISFIED,VIOLATED}
@attribute 'Emergency Detection time Constraint' {SATISFIED,VIOLATED}

@data
Sensor0,medio,95.3636,95.5594,0.19579,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,95.8947,96.1124,0.21772,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,96479,96.7044,0.22537,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,97.1051,97.3598,0.25468,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,97.6903,97.8857,0.19541,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,98.1957,98.3958,0.20016,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,98.7183,98.9103,0.19195,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,99.2192,99.4185,0.19932,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,99.7374,99.9336,0.19624,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,100.25,100447,0.19709,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,100775,100993,0.21859,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,101335,101547,0.21163,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,101909,102129,0.21997,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,102483,102699,0.21614,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,103055,103268,0.2125,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,103619,103835,0.21596,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,104182,104401,0.21815,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,104.79,105032,0.24178,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,105424,105692,0.26806,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,106118,106382,0.26405,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,106737,106951,0.21361,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,107298,107506,0.20742,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,107847,108058,0.21096,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,108395,108605,0.21033,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,108948,109158,0.21028,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,109501,109712,0.2114,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,110055,110265,0.20918,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,110608,110.82,0.21238,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,111218,111433,0.2151,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,111797,112024,0.2268,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,112392,112613,0.22135,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,112975,113208,0.23296,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,113611,113856,0.24485,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,114288,114577,0.28854,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,115015,115243,0.22716,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,115609,115.84,0.23142,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,116213,116442,0.22911,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,116803,117024,0.22093,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,117395,117613,0.21813,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,117979,118205,0.2254,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,118574,118799,0.22424,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,119186,119431,0.24481,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,119.83,120067,0.23736,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,120453,120701,0.23839,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,121095,121334,0.23906,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,121728,121972,0.24399,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,122363,122605,0.24243,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,122998,123237,0.23919,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,123627,123889,0.26182,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,124345,124614,0.26926,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,125097,125392,0.29466,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,125804,126043,0.23913,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,126437,126678,0.24062,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,127.07,127312,0.24277,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,127.71,127952,0.24189,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,128343,128587,0.24329,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,128983,129217,0.23332,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,129.62,129866,0.24627,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,ruim,130.26,130509,0.24953,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,130909,131152,0.24317,twenty,'Real-time OFF',VIOLATED,SATISFIED
Sensor0,medio,131552,131.82,0.26872,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,132.24,132504,0.26409,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,132926,133192,0.26591,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,133609,133868,0.25913,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,134301,134587,0.28633,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,135045,135327,0.28224,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,135754,136029,0.2744,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,medio,136499,136816,0.31793,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,137331,137627,0.29649,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,138046,138307,0.26163,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,138731,138993,0.26202,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,139416,139672,0.25624,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,140091,140363,0.27138,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,140785,141043,0.2588,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,141465,141729,0.26424,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,142.15,142422,0.27197,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,142863,143163,0.29996,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,143611,143881,0.27047,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,144329,144611,0.28232,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,145058,145373,0.31486,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,145866,146204,0.33737,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,146739,147015,0.27578,twenty,'Real-time OFF',VIOLATED,VIOLATED
Sensor0,ruim,147462,147737,0.27581,twenty,'Real-time OFF',VIOLATED,VIOLATED
