Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor0,ruim,451101,451399,0.298248
Sensor0,ruim,451252,451565,0.313347
Sensor0,ruim,451406,451724,0.317559
Sensor0,ruim,451571,451871,0.300462
Sensor0,ruim,451731,452023,0.291876
Sensor0,ruim,451877,452174,0.297089
Sensor0,ruim,452.03,452338,0.308398
Sensor0,ruim,452181,452489,0.308357
Sensor0,ruim,452344,452645,0.300296
Sensor0,ruim,452496,452798,0.301994
Sensor0,ruim,452651,452945,0.293452
Sensor0,ruim,452805,453106,0.301833
Sensor0,medio,452951,453262,0.310793
Sensor0,ruim,453711,454004,0.293071
Sensor0,medio,454459,454769,0.310179
Sensor0,ruim,455222,455519,0.297248
Sensor0,medio,455981,456293,0.311615
Sensor0,ruim,456741,457039,0.298589
Sensor0,medio,457508,457823,0.314625
Sensor0,ruim,458308,458648,0.340307
Sensor0,medio,459158,459473,0.31516
Sensor0,medio,459945,460251,0.305246
Sensor0,medio,460761,461078,0.317108
Sensor0,medio,461529,461849,0.319797
Sensor0,medio,462294,462.6,0.30599
Sensor0,medio,463033,463336,0.30296
Sensor0,medio,463.79,464097,0.306663
Sensor0,medio,464535,464838,0.303455
Sensor0,medio,465293,465597,0.304187
Sensor0,medio,466026,466327,0.300795
Sensor0,medio,466779,467.09,0.311568
Sensor0,medio,467538,467848,0.310546
Sensor0,medio,468294,468.61,0.316073
Sensor0,medio,469052,469358,0.305769
Sensor0,medio,469809,470111,0.301989
Sensor0,medio,470549,470855,0.306589
Sensor0,medio,471.31,471604,0.294476
Sensor0,medio,472044,472342,0.298462
Sensor0,ruim,472798,473099,0.300613
Sensor0,medio,473549,473863,0.314262
Sensor0,ruim,474309,474.61,0.301407
Sensor0,medio,475054,475365,0.310221
Sensor0,ruim,475809,476.11,0.30112
Sensor0,medio,476561,476876,0.315003
Sensor0,medio,477323,477613,0.2894
Sensor0,medio,478051,478343,0.292267
Sensor0,medio,478781,479.07,0.288802
Sensor0,medio,479509,479806,0.296154
Sensor0,medio,480252,480.55,0.297259
Sensor0,medio,480985,481279,0.294414
Sensor0,medio,481703,481995,0.291335
Sensor0,medio,482432,482727,0.295159
Sensor0,medio,483.17,483468,0.297927
Sensor0,medio,483898,484194,0.29603
Sensor0,medio,484.64,484939,0.298398
Sensor0,medio,485.38,485673,0.293139
