﻿Sensor remetente, Estado do Paciente, Enviado às (s), Processado às (s), Diff (s),Sensors,Cycle Time Constraint,Emergency Detection Time Constraint
Sensor0,ruim,499.8,499.923,0.12261,twenty,VIOLATED,SATISFIED
Sensor0,ruim,500.056,500.178,0.12138,twenty,VIOLATED,SATISFIED
Sensor0,ruim,504.529,504.654,0.12423,twenty,VIOLATED,SATISFIED
Sensor0,medio,504.789,504.913,0.12403,twenty,VIOLATED,SATISFIED
Sensor0,ruim,505.05,505.173,0.12292,twenty,VIOLATED,SATISFIED
Sensor0,medio,505.178,505.299,0.12027,twenty,VIOLATED,SATISFIED
Sensor0,ruim,506.567,506.687,0.1197,twenty,VIOLATED,SATISFIED
Sensor0,ruim,506.946,507.066,0.12049,twenty,VIOLATED,SATISFIED
Sensor0,medio,508.84,508.958,0.11834,twenty,VIOLATED,SATISFIED
Sensor0,ruim,509.464,509.582,0.11856,twenty,VIOLATED,SATISFIED
Sensor0,ruim,514.707,514.827,0.11928,twenty,VIOLATED,SATISFIED
Sensor0,ruim,514.832,514.952,0.11981,twenty,VIOLATED,SATISFIED
Sensor0,ruim,524.152,524.275,0.12296,twenty,VIOLATED,SATISFIED
Sensor0,ruim,524.281,524.402,0.12109,twenty,VIOLATED,SATISFIED
Sensor0,ruim,527.056,527.178,0.12121,twenty,VIOLATED,SATISFIED
Sensor0,ruim,528.078,528.2,0.12141,twenty,VIOLATED,SATISFIED
Sensor0,medio,528.721,528.84,0.11966,twenty,VIOLATED,SATISFIED
Sensor0,ruim,535.178,535.297,0.11905,twenty,VIOLATED,SATISFIED
Sensor0,medio,535.426,535.543,0.11688,twenty,VIOLATED,SATISFIED
Sensor0,ruim,536.047,536.167,0.11982,twenty,VIOLATED,SATISFIED
Sensor0,medio,541.212,541.33,0.11741,twenty,VIOLATED,SATISFIED
Sensor0,ruim,541.845,541.967,0.12227,twenty,VIOLATED,SATISFIED
Sensor0,ruim,555.484,555.602,0.11857,twenty,VIOLATED,SATISFIED
Sensor0,medio,555.737,555.86,0.12296,twenty,VIOLATED,SATISFIED
Sensor0,medio,560.042,560.171,0.12821,twenty,VIOLATED,SATISFIED
Sensor0,ruim,560.176,560.309,0.13291,twenty,VIOLATED,SATISFIED
Sensor0,medio,560.597,560.73,0.13319,twenty,VIOLATED,SATISFIED
Sensor1,ruim,5.5454,5.63483,0.08943,twenty,SATISFIED,SATISFIED
Sensor1,medio,7.8456,7.93481,0.08922,twenty,SATISFIED,SATISFIED
Sensor1,ruim,7.94636,8.03469,0.08833,twenty,SATISFIED,SATISFIED
Sensor1,medio,8.74567,8.83496,0.08929,twenty,SATISFIED,SATISFIED
Sensor1,ruim,9.04544,9.13471,0.08927,twenty,SATISFIED,SATISFIED
Sensor1,medio,9.24568,9.33563,0.08995,twenty,SATISFIED,SATISFIED
Sensor1,ruim,9.34732,9.43484,0.08751,twenty,SATISFIED,SATISFIED
Sensor1,ruim,9.94641,10.0348,0.08837,twenty,SATISFIED,SATISFIED
Sensor1,ruim,10.2456,10.3349,0.08923,twenty,SATISFIED,SATISFIED
Sensor1,medio,10.7455,10.8349,0.08947,twenty,SATISFIED,SATISFIED
Sensor1,medio,11.0454,11.1361,0.09069,twenty,SATISFIED,SATISFIED
Sensor1,medio,16.6456,16.7349,0.08927,twenty,SATISFIED,SATISFIED
Sensor1,ruim,16.8457,16.9349,0.08919,twenty,SATISFIED,SATISFIED
Sensor1,ruim,17.6472,17.7369,0.08969,twenty,SATISFIED,SATISFIED
Sensor1,ruim,18.2465,18.3349,0.08847,twenty,SATISFIED,SATISFIED
Sensor1,medio,19.0456,19.1347,0.0891,twenty,SATISFIED,SATISFIED
Sensor1,bom,19.1463,19.2354,0.08915,twenty,SATISFIED,SATISFIED
Sensor1,ruim,29.7478,29.8365,0.08871,twenty,SATISFIED,SATISFIED
Sensor1,ruim,30.0478,30.1375,0.08963,twenty,SATISFIED,SATISFIED
Sensor1,bom,30.3504,30.435,0.08465,twenty,SATISFIED,SATISFIED
Sensor1,ruim,33.1539,33.2432,0.08926,twenty,SATISFIED,SATISFIED
Sensor1,ruim,33.2548,33.3441,0.08935,twenty,SATISFIED,SATISFIED
Sensor1,ruim,33.3559,33.4466,0.09073,twenty,SATISFIED,SATISFIED
Sensor1,ruim,33.8543,33.9436,0.08934,twenty,SATISFIED,SATISFIED
Sensor1,ruim,34.1715,34.2629,0.09135,twenty,SATISFIED,SATISFIED
Sensor1,ruim,46.8378,46.9546,0.11679,twenty,VIOLATED,SATISFIED
Sensor1,medio,47.4828,47.5997,0.11699,twenty,VIOLATED,SATISFIED
Sensor1,ruim,47.989,48.1027,0.11372,twenty,VIOLATED,SATISFIED
Sensor1,ruim,49.2206,49.3456,0.12497,twenty,VIOLATED,SATISFIED
Sensor1,ruim,49.4947,49.6101,0.11532,twenty,VIOLATED,SATISFIED
Sensor1,ruim,49.9984,50.1092,0.11078,twenty,VIOLATED,SATISFIED
Sensor1,ruim,50.3779,50.4917,0.11377,twenty,VIOLATED,SATISFIED
Sensor1,ruim,55.9618,56.0769,0.11512,twenty,VIOLATED,SATISFIED
Sensor1,ruim,56.0885,56.205,0.11659,twenty,VIOLATED,SATISFIED
Sensor1,ruim,58.4665,58.5879,0.12137,twenty,VIOLATED,SATISFIED
Sensor1,medio,60.6587,60.7749,0.11611,twenty,VIOLATED,SATISFIED
Sensor1,bom,60.7866,60.9016,0.11498,twenty,VIOLATED,SATISFIED
Sensor1,ruim,62.6768,62.7907,0.1139,twenty,VIOLATED,SATISFIED
Sensor1,ruim,66.075,66.189,0.11401,twenty,VIOLATED,SATISFIED
Sensor1,ruim,66.2006,66.3143,0.11375,twenty,VIOLATED,SATISFIED
Sensor1,medio,66.454,66.5694,0.11537,twenty,VIOLATED,SATISFIED
Sensor1,medio,66.581,66.7017,0.12068,twenty,VIOLATED,SATISFIED
Sensor1,ruim,72.295,72.4145,0.11944,twenty,VIOLATED,SATISFIED
Sensor1,ruim,72.6931,72.8114,0.11829,twenty,VIOLATED,SATISFIED
Sensor1,medio,72.823,72.9363,0.11335,twenty,VIOLATED,SATISFIED
Sensor1,bom,73.0722,73.1861,0.1139,twenty,VIOLATED,SATISFIED
Sensor1,ruim,73.4503,73.562,0.1117,twenty,VIOLATED,SATISFIED
Sensor1,medio,74.686,74.7982,0.11212,twenty,VIOLATED,SATISFIED
Sensor1,ruim,74.9396,75.0561,0.11653,twenty,VIOLATED,SATISFIED
Sensor1,ruim,76.4509,76.5623,0.11141,twenty,VIOLATED,SATISFIED
Sensor1,ruim,76.6985,76.8182,0.11971,twenty,VIOLATED,SATISFIED
Sensor1,ruim,77.34,77.4515,0.11147,twenty,VIOLATED,SATISFIED
Sensor1,ruim,77.463,77.5762,0.11318,twenty,VIOLATED,SATISFIED
Sensor1,ruim,78.3209,78.4328,0.11191,twenty,VIOLATED,SATISFIED
Sensor1,ruim,79.191,79.3055,0.11459,twenty,VIOLATED,SATISFIED
Sensor1,medio,79.5722,79.6879,0.11575,twenty,VIOLATED,SATISFIED
Sensor1,medio,81.8421,81.9544,0.11231,twenty,VIOLATED,SATISFIED
