Sensor remetente, Estado do Paciente, Enviado as (s), Processado as (s), Diff (s)
Sensor1,bom,59.0791,59.1682,0.0891184
Sensor1,bom,60.0791,60.1682,0.0890619
Sensor1,bom,61.0791,61.1682,0.0890715
Sensor1,bom,62.0791,62.1681,0.0890072
Sensor1,bom,63.0791,63168,0.0889821
Sensor1,bom,64.0789,64.1681,0.0892598
Sensor1,bom,65.0792,65.1682,0.0890164
Sensor1,bom,66079,66.1681,0.0890812
Sensor1,bom,67.0791,67.1681,0.0890209
Sensor1,bom,68.0791,68.1682,0.0891056
Sensor1,bom,69.0791,69.1681,0.0890212
Sensor1,bom,70079,70168,0.0889966
Sensor1,bom,71079,71168,0.0889574
Sensor1,bom,72079,72.1682,0.0891774
Sensor1,bom,73.0789,73.1681,0.0891778
Sensor1,bom,74.0791,74.1682,0.0890903
Sensor1,bom,75.0791,75.1682,0.0890483
Sensor1,bom,76.0791,76.1682,0.0890948
Sensor1,bom,77.0791,77.1682,0.0890558
Sensor1,bom,78079,78.1681,0.0891096
Sensor1,bom,79079,79168,0.089014
Sensor1,bom,80079,80.1681,0.0890958
Sensor1,bom,81079,81.1682,0.0892216
Sensor1,bom,82079,82.1682,0.0891642
Sensor1,bom,83079,83.1682,0.0891433
Sensor1,bom,84079,84.1681,0.089103
Sensor1,bom,85.0792,85.1682,0.0889926
Sensor1,bom,86079,86.1681,0.0890594
Sensor1,bom,87079,87.1681,0.0891322
Sensor1,bom,88.0791,88.1682,0.0891011
Sensor1,bom,89.0791,89.1682,0.0891126
Sensor1,bom,90.0791,90.1682,0.0890811
Sensor1,bom,91.0791,91.1682,0.089083
Sensor1,bom,92079,92.1682,0.0891459
Sensor1,bom,93079,93.1681,0.0891313
Sensor1,bom,94079,94.1681,0.0890576
Sensor1,bom,95079,95.1681,0.0891164
Sensor1,bom,96079,96.1682,0.0892128
Sensor1,bom,97079,97.1682,0.0891964
Sensor1,bom,98079,98.1681,0.0891119
Sensor1,bom,99079,99.1681,0.0890851
Sensor1,bom,100079,100168,0.0891278
Sensor1,bom,101079,101168,0.0890469
Sensor1,bom,102079,102168,0.0891435
Sensor1,bom,103079,103168,0.0890057
Sensor1,bom,104079,104168,0.089109
Sensor1,bom,105079,105168,0.0890905
Sensor1,bom,106079,106168,0.0890599
Sensor1,bom,107079,107168,0.0891315
Sensor1,bom,108079,108168,0.0891519
Sensor1,bom,109079,109168,0.0890171
Sensor1,bom,110079,110168,0.0891173
Sensor1,bom,111079,111168,0.0890786
Sensor1,bom,112079,112168,0.0893879
Sensor1,bom,113079,113168,0.0890379
Sensor1,bom,114079,114168,0.0891836
Sensor1,bom,115079,115168,0.0891036
Sensor1,bom,116079,116168,0.0890606
Sensor1,bom,117079,117168,0.08911
Sensor1,bom,118079,118168,0.0889542
Sensor1,bom,119079,119168,0.0891944
Sensor1,bom,120079,120168,0.0891189
Sensor1,bom,121079,121168,0.08901
Sensor1,bom,122079,122168,0.0890357
Sensor1,bom,123079,123168,0.0891004
Sensor1,bom,124079,124168,0.0890647
Sensor1,bom,125079,125168,0.0890306
Sensor1,bom,126079,126168,0.0891354
Sensor1,bom,127079,127168,0.0890043
Sensor1,bom,128079,128168,0.0891384
Sensor1,bom,129079,129168,0.0889905
Sensor1,bom,130079,130168,0.0890556
Sensor1,bom,131079,131168,0.0890423
Sensor1,bom,132079,132168,0.089077
Sensor1,bom,133079,133168,0.0891308
Sensor1,bom,134079,134168,0.0890054
Sensor1,bom,135079,135168,0.0890444
Sensor1,bom,136079,136168,0.0891677
Sensor1,bom,137079,137168,0.0889873
Sensor1,bom,138079,138168,0.0890134
Sensor1,bom,139079,139168,0.0890298
Sensor1,bom,140079,140168,0.0890444
Sensor1,bom,141079,141168,0.0890439
Sensor1,bom,142079,142168,0.0890817
Sensor1,bom,143079,143168,0.089013
Sensor1,bom,144079,144168,0.0891707
Sensor1,bom,145079,145168,0.0890984
Sensor1,bom,146079,146168,0.0891448
Sensor1,bom,147079,147168,0.089159
Sensor1,bom,148079,148168,0.0891332
Sensor1,bom,149079,149168,0.0889615
Sensor1,bom,150079,150168,0.088964
Sensor1,bom,151079,151168,0.0891794
Sensor1,bom,152079,152168,0.0890291
Sensor1,bom,153079,153168,0.0890722
Sensor1,bom,154079,154168,0.0891491
Sensor1,bom,155079,155168,0.0889888
Sensor1,bom,156079,156168,0.0890387
Sensor1,bom,157079,157168,0.0890659
Sensor1,bom,158079,158168,0.089056
Sensor1,bom,159079,159168,0.0890619
Sensor1,bom,160079,160168,0.0893006
Sensor1,bom,161079,161168,0.0891522
Sensor1,bom,162079,162168,0.0890848
Sensor1,bom,163079,163168,0.089067
Sensor1,bom,164079,164168,0.0890992
Sensor1,bom,165079,165168,0.0890931
Sensor1,bom,166079,166168,0.0890407
Sensor1,bom,167079,167168,0.0889673
Sensor1,bom,168079,168168,0.0890521
Sensor1,bom,169079,169168,0.089167
Sensor1,bom,170079,170168,0.0890229
Sensor1,bom,171079,171168,0.0890067
Sensor1,bom,172079,172168,0.0890117
Sensor1,bom,173079,173168,0.0890249
Sensor1,bom,174079,174168,0.089012
Sensor1,bom,175079,175168,0.0891417
Sensor1,bom,176079,176168,0.0892235
Sensor1,bom,177079,177168,0.0890977
Sensor1,bom,178079,178168,0.089248
Sensor1,bom,179079,179168,0.0892032
Sensor1,bom,180079,180168,0.0891499
Sensor1,bom,181079,181168,0.0892509
Sensor1,bom,182079,182168,0.0892344
Sensor1,bom,183079,183168,0.0892492
Sensor1,bom,184079,184168,0.0892414
Sensor1,bom,185079,185168,0.0891809
Sensor1,bom,186079,186168,0.0890373
Sensor1,bom,187079,187168,0.0891661
Sensor1,bom,188079,188168,0.0891027
Sensor1,bom,189079,189168,0.0890756
Sensor1,bom,190079,190168,0.0891019
Sensor1,bom,191079,191168,0.088943
Sensor1,bom,192079,192168,0.0890702
Sensor1,bom,193079,193168,0.0891774
Sensor1,bom,194079,194168,0.0891271
Sensor1,bom,195079,195168,0.0890976
Sensor1,bom,196079,196168,0.0890811
Sensor1,bom,197079,197168,0.0890598
Sensor1,bom,198079,198168,0.0891608
Sensor1,bom,199079,199168,0.0891263
Sensor1,bom,200079,200168,0.0891782
Sensor1,bom,201079,201168,0.0892157
Sensor1,bom,202079,202168,0.0891505
Sensor1,bom,203079,203168,0.0891254
Sensor1,bom,204079,204168,0.089178
Sensor1,bom,205079,205168,0.0891059
Sensor1,bom,206079,206168,0.0891341
Sensor1,bom,207079,207168,0.0890978
Sensor1,bom,208079,208168,0.0890259
Sensor1,bom,209079,209168,0.0892507
Sensor1,bom,210079,210168,0.0892352
Sensor1,bom,211079,211168,0.0891692
Sensor1,bom,212079,212168,0.0891934
Sensor1,bom,213079,213168,0.0890552
Sensor1,bom,214079,214168,0.0891009
Sensor1,bom,215079,215168,0.089092
Sensor1,bom,216079,216168,0.0892662
Sensor1,bom,217079,217168,0.0890585
Sensor1,bom,218079,218168,0.0891128
Sensor1,bom,219079,219168,0.0891608
Sensor1,bom,220079,220168,0.0891514
Sensor1,bom,221079,221168,0.0891867
Sensor1,bom,222079,222168,0.089002
Sensor1,bom,223079,223168,0.0890579
Sensor1,bom,224079,224168,0.0890367
Sensor1,bom,225079,225168,0.0892212
Sensor1,bom,226079,226168,0.0890139
Sensor1,bom,227079,227168,0.0890083
Sensor1,bom,228079,228168,0.0889721
Sensor1,bom,229079,229168,0.0889147
Sensor1,bom,230079,230168,0.0890272
Sensor1,bom,231079,231168,0.0890187
Sensor1,bom,232079,232168,0.0890822
Sensor1,bom,233079,233168,0.0891376
Sensor1,bom,234079,234168,0.0891918
Sensor1,bom,235079,235168,0.0891003
Sensor1,bom,236079,236168,0.0890417
Sensor1,bom,237079,237168,0.0890959
Sensor1,bom,238079,238168,0.0891763
Sensor1,bom,239079,239168,0.0890643
Sensor1,bom,240079,240168,0.0890307
Sensor1,bom,241079,241168,0.0891908
Sensor1,bom,242079,242168,0.0891717
Sensor1,bom,243079,243168,0.089102
Sensor1,bom,244079,244168,0.0890085
Sensor1,bom,245079,245168,0.0891287
Sensor1,bom,246079,246168,0.0891685
Sensor1,bom,247079,247168,0.0891004
Sensor1,bom,248079,248168,0.0890842
Sensor1,bom,249079,249168,0.0889743
Sensor1,bom,250079,250168,0.0889667
Sensor1,bom,251079,251168,0.0889223
Sensor1,bom,252079,252168,0.0889221
Sensor1,bom,253079,253168,0.0890464
Sensor1,bom,254079,254168,0.0890242
Sensor1,bom,255079,255168,0.0889221
Sensor1,bom,256079,256168,0.0890096
Sensor1,bom,257079,257168,0.0893071
Sensor1,bom,258079,258168,0.089131
Sensor1,bom,259079,259168,0.0891545
Sensor1,bom,260079,260168,0.0891241
Sensor1,bom,261079,261168,0.0890569
Sensor1,bom,262079,262168,0.0891033
Sensor1,bom,263079,263168,0.089223
Sensor1,bom,264079,264168,0.0889876
Sensor1,bom,265079,265168,0.0891126
Sensor1,bom,266079,266168,0.0892796
Sensor1,bom,267079,267168,0.0891922
Sensor1,bom,268079,268168,0.0891923
Sensor1,bom,269079,269168,0.0892049
Sensor1,bom,270079,270168,0.0891411
Sensor1,bom,271079,271168,0.0891441
Sensor1,bom,272079,272168,0.0890995
Sensor1,bom,273079,273168,0.0891216
Sensor1,bom,274079,274168,0.0891182
Sensor1,bom,275079,275168,0.0890766
Sensor1,bom,276079,276168,0.0890061
Sensor1,bom,277079,277168,0.0889885
Sensor1,bom,278079,278168,0.0890384
Sensor1,bom,279079,279168,0.0891665
Sensor1,bom,280079,280168,0.0890108
Sensor1,bom,281079,281168,0.0890663
Sensor1,bom,282079,282168,0.0890904
Sensor1,bom,283079,283168,0.0891407
Sensor1,bom,284079,284168,0.0890878
Sensor1,bom,285079,285168,0.0890518
Sensor1,bom,286079,286168,0.089104
Sensor1,bom,287079,287168,0.0891173
Sensor1,bom,288079,288168,0.0891159
Sensor1,bom,289079,289168,0.0891102
Sensor1,bom,290079,290168,0.0891141
Sensor1,bom,291079,291168,0.0889615
Sensor1,bom,292079,292168,0.0890481
Sensor1,bom,293079,293168,0.0889998
Sensor1,bom,294079,294168,0.0890565
Sensor1,bom,295079,295168,0.0891833
Sensor1,bom,296079,296168,0.0889451
Sensor1,bom,297079,297168,0.0890124
Sensor1,bom,298079,298168,0.0891121
Sensor1,bom,299079,299168,0.0890707
Sensor1,bom,300079,300168,0.0890251
Sensor1,bom,301079,301168,0.0889943
Sensor2,bom,4.88517,4.96814,0.0829698
Sensor2,bom,5.88472,5.96961,0.0848976
Sensor2,bom,6.88474,6.96941,0.0846701
Sensor2,bom,7.88479,7.96945,0.0846617
Sensor2,bom,8.88481,8.9695,0.0846841
Sensor2,bom,9.88493,9.96956,0.0846296
Sensor2,bom,10.8848,10.9695,0.0846688
Sensor2,bom,11.8849,11.9694,0.0845523
Sensor2,bom,12885,12.9695,0.0845404
Sensor2,bom,13.8847,13.9696,0.084846
Sensor2,bom,14.8847,14.97,0.0853331
Sensor2,bom,15.8847,15.9694,0.0846924
Sensor2,bom,16.8848,16.9695,0.084613
Sensor2,bom,17.8849,17.9694,0.0844828
Sensor2,bom,18885,18.9695,0.0844172
Sensor2,bom,19885,19.9694,0.0844416
Sensor2,bom,20.8848,20.9696,0.0847549
Sensor2,bom,21.8847,21.9694,0.0846341
Sensor2,bom,22.8847,22.9693,0.0846522
Sensor2,bom,23.8847,23.9695,0.0847679
Sensor2,bom,24.8847,24.9694,0.0847261
Sensor2,bom,25.8848,25.9694,0.0846491
Sensor2,bom,26.8848,26.9694,0.0846012
Sensor2,bom,27.8848,27.9695,0.0847173
Sensor2,bom,28.8849,28.9695,0.0846318
Sensor2,bom,29.8848,29.9694,0.0845914
Sensor2,bom,30.8847,30.9693,0.0846138
